ROBO_ID;OCCURRENCE;CODE;;;;;;;;;;;;;;
176;19.01.2022;E5054;;;;;;;;;;;;;;
177;27.04.2022;E5055;;;;;;;;;;;;;;
177;29.04.2022;E5055;;;;;;;;;;;;;;
172;26.04.2022;E5055;;;;;;;;;;;;;;
46;28.04.2022;E0898;;;;;;;;;;;;;;
189;1.01.2022;E1043;;;;;;;;;;;;;;
189;1.01.2022;E5055;;;;;;;;;;;;;;
264;30.04.2022;E5055;;;;;;;;;;;;;;
313;30.04.2022;E0898;;;;;;;;;;;;;;
322;30.04.2022;E0898;;;;;;;;;;;;;;
220;30.04.2022;E1060;;;;;;;;;;;;;;
126;29.04.2022;E5055;;;;;;;;;;;;;;
126;29.04.2022;E1028;;;;;;;;;;;;;;
126;29.04.2022;E5055;;;;;;;;;;;;;;
126;30.04.2022;E1028;;;;;;;;;;;;;;
126;30.04.2022;E5055;;;;;;;;;;;;;;
138;30.04.2022;E1028;;;;;;;;;;;;;;
140;29.04.2022;E5055;;;;;;;;;;;;;;
157;30.04.2022;E1549;;;;;;;;;;;;;;
157;30.04.2022;E1028;;;;;;;;;;;;;;
163;29.04.2022;E1549;;;;;;;;;;;;;;
293;6.01.2022;E5055;;;;;;;;;;;;;;
293;11.01.2022;E5055;;;;;;;;;;;;;;
293;20.01.2022;E5055;;;;;;;;;;;;;;
294;4.01.2022;E1028;;;;;;;;;;;;;;
294;4.01.2022;E1028;;;;;;;;;;;;;;
294;7.01.2022;E1028;;;;;;;;;;;;;;
294;20.01.2022;E1028;;;;;;;;;;;;;;
294;21.01.2022;E5055;;;;;;;;;;;;;;
294;21.01.2022;E1028;;;;;;;;;;;;;;
185;13.01.2022;E1043;;;;;;;;;;;;;;
185;15.01.2022;E5055;;;;;;;;;;;;;;
185;15.01.2022;E5055;;;;;;;;;;;;;;
185;20.01.2022;E5055;;;;;;;;;;;;;;
177;9.01.2022;E5055;;;;;;;;;;;;;;
177;9.01.2022;E5055;;;;;;;;;;;;;;
177;9.01.2022;E5054;;;;;;;;;;;;;;
177;11.01.2022;E1043;;;;;;;;;;;;;;
177;13.01.2022;E1287;;;;;;;;;;;;;;
177;19.01.2022;E1043;;;;;;;;;;;;;;
169;9.01.2022;E1043;;;;;;;;;;;;;;
181;7.01.2022;E1043;;;;;;;;;;;;;;
181;12.01.2022;E1302;;;;;;;;;;;;;;
181;15.01.2022;E5055;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5008;;;;;;;;;;;;;;
181;15.01.2022;E5055;;;;;;;;;;;;;;
181;16.01.2022;E5055;;;;;;;;;;;;;;
186;8.01.2022;E5055;;;;;;;;;;;;;;
186;18.01.2022;E5055;;;;;;;;;;;;;;
192;2.01.2022;E5055;;;;;;;;;;;;;;
192;11.01.2022;E5055;;;;;;;;;;;;;;
192;11.01.2022;E5055;;;;;;;;;;;;;;
253;18.01.2022;E1043;;;;;;;;;;;;;;
254;18.01.2022;E1043;;;;;;;;;;;;;;
254;19.01.2022;E5055;;;;;;;;;;;;;;
257;3.01.2022;E1043;;;;;;;;;;;;;;
257;3.01.2022;E5054;;;;;;;;;;;;;;
257;6.01.2022;E5055;;;;;;;;;;;;;;
264;8.01.2022;E1043;;;;;;;;;;;;;;
264;8.01.2022;E5054;;;;;;;;;;;;;;
264;8.01.2022;E5054;;;;;;;;;;;;;;
264;8.01.2022;E5054;;;;;;;;;;;;;;
185;25.04.2022;E5055;;;;;;;;;;;;;;
185;25.04.2022;E1043;;;;;;;;;;;;;;
261;15.01.2022;E5055;;;;;;;;;;;;;;
181;23.01.2022;E5055;;;;;;;;;;;;;;
294;26.04.2022;E1028;;;;;;;;;;;;;;
177;26.04.2022;E1043;;;;;;;;;;;;;;
177;26.04.2022;E1043;;;;;;;;;;;;;;
294;21.01.2022;E1028;;;;;;;;;;;;;;
341;8.01.2022;E5055;;;;;;;;;;;;;;
341;9.01.2022;E5055;;;;;;;;;;;;;;
341;15.01.2022;E5055;;;;;;;;;;;;;;
341;16.01.2022;E5055;;;;;;;;;;;;;;
